name,price,stock_quantity,produced_at,expires_at,user_id,store_id
momBcn pikdPYDScY,3724,725,2018-04-17,2020-09-25,2,10
UVzuFVqcNpQPTCWChoztOepU,1787,509,2018-06-17,2022-08-06,2,6
qHGjeamjznsk,191,15,2018-06-04,2021-01-21,2,7
idrXKyBjNwNGFoIAhx,560,183,2019-12-06,2024-04-08,2,10
oql pzUHseI,2240,309,2018-07-09,2020-11-30,2,7
uQeOhRfOktjEFoRdKZmn,4997,764,2019-12-24,2024-10-28,2,6
UBOZOcRbqyiuvt gOjuztQTh,3980,792,2019-02-20,2020-02-08,2,9
jnvSpWCKYsOFALbTIZNnm,4304,200,2019-09-05,2021-08-12,2,9
yEOVhvWwknSbWBmXZqUuyJFS,4348,35,2019-02-16,2024-07-16,2,10
buDeYf UwYPZyyWsrycrx,2007,739,2019-01-15,2022-06-22,2,9
"OPDFpKNlFLePmjl ",4304,858,2018-03-27,2024-05-06,2,6
NVWhopTZQDLCnZBH,3602,798,2018-09-11,2023-05-31,2,8
myHXXNbJCuvPtBsbMkqhmfcT,3011,252,2018-08-20,2024-06-27,2,8
AJXMSGPFLtOeYMdG,3607,761,2019-06-12,2023-11-03,2,6
yrYQvPCGovLbIe,184,919,2018-02-17,2023-12-04,2,7
MJc FjYbrIAx,2045,692,2018-01-29,2022-09-28,2,6
dTrciYawQi,3006,474,2019-10-14,2020-10-13,2,10
TRX wPQlOqsGpYoqsSEQM,4681,504,2019-07-20,2023-06-05,2,8
zgKq rcIpS,469,612,2018-09-23,2023-09-07,2,6
hQAQxHzlpRQrfzSyAzPNBACIz,3468,356,2019-06-09,2021-01-12,2,6
lTmacootrnTya,3798,693,2019-02-26,2023-12-24,2,7
ahubetokHAsfGgc pG,1920,391,2019-06-03,2023-03-14,2,8
mWYgtHNXgkqUQmNdelMALSHMe,1884,819,2019-04-14,2020-03-22,2,7
yCVPueZWEaT,4299,105,2019-07-17,2023-12-11,2,8
mkNKTdfiwLUTYTaMTjria,1083,565,2019-10-16,2022-11-18,2,6
fGFGuwNDTHjytLvauGtB,437,372,2019-11-25,2022-11-06,2,9
" vMxBsAMmtMPn ag",4299,836,2019-10-24,2023-02-22,2,10
EbL xYUTBjnk,1426,680,2019-11-22,2023-12-23,2,9
IFXNYUYDFCOCmz,4362,359,2019-12-21,2021-12-02,2,7
RoCJVVOGMGwwDbVpwRoxuDPKj,1679,833,2019-10-03,2023-09-18,2,9
EuNpvoDslJ,2084,238,2019-01-07,2020-12-20,2,10
QDtBFvmJnHUONASCXXIo,1002,293,2018-10-13,2022-02-25,2,9
mgffeaOAXVGLb,235,549,2018-11-17,2021-10-09,2,10
knLTNwMnITwvisPmh,3673,374,2018-12-15,2020-11-08,2,7
rSiGWgePBkSecuKYrXc,4438,61,2019-06-08,2023-04-28,2,8
yKFGQOIODyBadIKySXFyPeSIy,4141,353,2018-02-11,2021-01-16,2,8
krjtNlThuASTZCZNlx,3453,224,2018-05-23,2023-12-04,2,8
xHiMourvKreqyGVVNX xYCOA,1309,121,2019-12-27,2022-11-17,2,6
gCDTJJOxRxvGehNOJ,1949,29,2019-08-16,2020-08-02,2,9
mIbQmUUxbOEnf,1770,792,2018-04-30,2022-08-18,2,10
hzKVEBQDcDshwhfa,4909,180,2019-04-20,2020-09-17,2,9
RMjuaGBBEakZ,533,537,2019-05-19,2021-08-10,2,8
bqeWzHrqubInZFpY,2838,89,2019-11-16,2021-04-19,2,9
uNvKHEbDFlcYJrjXUZmugxGs,4121,365,2018-03-22,2022-05-21,2,6
irOFkrYdibliFJNuaRuj,210,247,2018-02-14,2020-08-05,2,8
ewmWEDuwxNnVRXbxw,4347,810,2018-07-10,2021-02-06,2,10
fZaKjtHFDNnK,663,758,2019-06-01,2023-11-16,2,8
yUmtfCRHci,3637,75,2019-12-08,2021-10-16,2,9
EXpIwuVZvdtO,365,747,2018-08-06,2021-12-29,2,10
HVJThIuuuWFzG,1400,298,2018-05-27,2024-03-02,2,9
VptTkvXuTQhYCW BJFO,3217,770,2019-08-17,2024-12-02,2,6
yzp OUpbfNbF,2577,740,2019-04-11,2020-10-27,2,8
hNaHGhUnYRupj,1573,598,2019-01-01,2021-03-20,2,9
ZxdK dEAAFVFkrhltc PiJqNT,3523,179,2019-05-01,2020-08-20,2,10
j XjTGfjNDLdPqlwyFNtA,4235,988,2018-03-08,2024-01-12,2,8
sVMsoJYhJQmdCasSAFyoUJ,362,395,2019-04-24,2023-05-27,2,9
FWHKHC IkItlStKZu,3324,253,2019-04-14,2024-07-18,2,9
TrbhpDdSz ZhC,685,683,2018-08-28,2024-07-30,2,6
MQrUlZLdLcWCHFju,2921,454,2018-03-29,2021-12-25,2,9
PkuvxVSeESSyRDMopnh,4442,583,2019-08-01,2024-08-23,2,7
zOfZJBeBWWIZoDCf k,4321,981,2019-05-03,2020-10-22,2,6
mRPRSnKAXTDKmciwNy,510,41,2019-06-20,2024-04-06,2,7
kTgaVaxFoRAOTivVOJHIFKpP,2763,135,2019-09-10,2022-03-05,2,6
zqCBzmGRzYYhnKplyb,2104,301,2018-03-13,2024-10-17,2,8
LZQLCOhYWwiUGS,4623,876,2019-10-17,2021-12-10,2,7
ilBAoZdiuuhihJzJT,1447,801,2018-02-09,2020-06-18,2,9
NzKSZg nXkLbgNgRIQiwt,2635,315,2018-01-02,2024-03-22,2,7
dBAqlXhNVveQ pVFbYwmYMy,4651,907,2019-04-10,2023-09-04,2,8
OGGIrDWnoRpjfGQdUctAxim,4436,112,2019-01-20,2022-03-01,2,7
fzjOeQV ArlQYFz YZe,2119,469,2018-07-14,2021-07-30,2,8
BtSXBoUNyp oFGhJOXMMvnI,1906,349,2019-10-24,2021-10-19,2,6
hdfUeiFumvvXAzxaifIcb,3677,256,2018-09-12,2024-09-01,2,7
zagHlFRHOfjpMEszFYd,150,592,2019-05-29,2021-03-14,2,9
JmWetdYVYXz,218,488,2018-03-18,2022-11-04,2,10
roDLfUMNkkaxPLa,1097,240,2018-05-20,2023-11-24,2,6
LhDCV z IOIOXgBUssOXxTPRX,4523,723,2018-12-15,2021-01-31,2,9
KiyYTTPvHIEFhwVVVSVtRqGRE,2204,164,2018-08-11,2020-09-28,2,7
mVnwfuCNnVtP,1314,696,2018-01-31,2024-10-23,2,10
DUebrVP tOZowgEreKw,1072,406,2018-03-14,2022-02-01,2,6
gRFSHnau ZSgBRjotB,2490,605,2018-07-20,2022-05-06,2,10
pamzWWvBIblGbyYoRnky,3162,595,2019-12-15,2023-09-19,2,9
AdYAIhYAoKRoYJSOHD,472,567,2018-07-17,2022-04-28,2,7
HuEltETyVf,4174,638,2019-05-05,2023-10-27,2,6
GQHXdgkhlVy,4956,522,2018-12-09,2024-01-04,2,10
j NMvioiUmDBIQftG,3811,862,2019-09-23,2024-10-01,2,10
gOwSTodfLITaT,3685,307,2018-04-11,2022-10-11,2,10
XPRozDBdmSwxYPpSRAAMtK,2621,23,2019-01-16,2024-03-10,2,6
QaUT IfMsuOEYbWdcPR,1705,446,2018-06-18,2024-05-10,2,10
CMfCqQoS PClqADzISey,4808,443,2018-10-12,2021-05-27,2,8
ZpplzxHYaMOM,1119,294,2019-12-11,2023-03-05,2,9
pWGp MYXgRmxcezHoPmzTpaS,333,607,2019-11-11,2024-02-26,2,10
RFKhVZGmfWE,3112,944,2019-04-21,2021-10-18,2,9
nZznXLCjoPHbdMZPpdKUUtld,3616,628,2018-11-27,2024-03-25,2,10
DivpKYDsIkDclH,246,180,2018-11-12,2024-07-06,2,6
skDnTPVnwavmnzmgerR,2466,249,2019-06-29,2024-12-11,2,6
ceXZBCWWCKQDkpavlvSi,2682,217,2019-02-03,2024-06-09,2,9
EOevsKHMVlOEXguaQu lxdbw,4708,854,2018-08-14,2020-11-22,2,10
ByBOOxSEnHzMdRKIQxdF,444,337,2019-01-26,2021-10-19,2,10
cZTohAorqkuVgkjPoQ,1642,148,2019-11-10,2020-05-22,2,6
njWVRgfVYWTwySLw,1418,978,2019-10-25,2020-09-28,2,6
AkyCHxVwefesPTagBbq,109,874,2019-03-18,2023-12-23,2,6
JYBuRJBdwYjqbNJxHVUopcB,475,308,2018-04-26,2023-01-27,2,6
AmykJyMSAoB,3907,577,2018-11-06,2023-06-19,2,8
THV BFHIgJqjGiWGZlWH,433,291,2019-12-25,2022-10-02,2,9
jwGTLRsZhqOqqWxU,4655,89,2019-04-02,2022-07-22,2,8
uQXIwvZsSI dWuhRynqMe,49,497,2019-02-11,2020-08-11,2,6
aYgqfalLzvjNEiJNNuHhMjEd,1314,468,2018-12-02,2024-12-30,2,9
JtWugBoCpupXyTbACduTZ,1907,117,2019-02-03,2020-06-13,2,9
NaXIOByzcAypZu,4086,436,2018-02-27,2020-11-17,2,10
qefVhBtywMbkTak,2594,651,2019-02-05,2021-11-14,2,6
MNCKPyhBoGHDu,987,562,2018-01-06,2024-02-17,2,10
ZQHsipRPwwWibHKt,2715,825,2018-11-13,2020-03-07,2,10
igbxJGYbacatywBOYWiqXgI,3083,689,2018-09-10,2021-05-27,2,7
wwcBfOatUhbuUGBzoxkHYhoI,882,493,2019-09-07,2023-08-23,2,7
yhLRpLwhcFIww,919,904,2018-12-12,2023-12-13,2,10
qOnmvofESXJaBfitt,3427,42,2019-01-27,2021-07-20,2,9
fhEUizevCgcfyPCn,2530,785,2019-03-18,2020-04-19,2,9
dGBUIJxmvioXyqfIDqrwxGrjl,52,837,2019-03-23,2021-07-14,2,6
KZlEbHtEqIYCJm,2711,640,2018-02-15,2020-10-17,2,10
MXLTBxoAEZLyGakECzqyTJT,170,297,2018-06-05,2024-06-23,2,8
EbEzPkxBZuhv,4969,144,2019-02-25,2023-04-05,2,10
jNP kTMFoTLflYkQnTtMpRTml,2013,350,2018-03-18,2022-07-10,2,9
hOMI lcfCRj,4246,111,2018-03-18,2023-03-16,2,9
WMWKsETEGh,3851,581,2018-08-31,2022-09-18,2,7
jlbVenZwkXknKyzOOCXE,3812,3,2018-02-03,2021-06-26,2,10
phQQXPpwHPAXIiDhYMpLejO,4171,773,2018-04-28,2021-09-22,2,7
GAlmfNorrqvVzdQwpSyZG,3795,110,2018-02-23,2023-04-27,2,6
qbnlshU JNEKzW,4939,69,2018-06-11,2024-04-25,2,9
BBgPHXBmNFoVyiTNu,1569,985,2018-01-24,2024-01-22,2,10
fFZnAQKdug,1963,564,2019-08-12,2024-09-11,2,6
clysUHcIxX,1601,655,2018-05-28,2022-05-02,2,6
JfhBXWobXGhAn,3691,65,2018-04-06,2021-07-25,2,9
GIgPTsVAPHiwfoigVRlaQOOjN,1283,320,2018-04-25,2021-06-10,2,7
KemMCiDuDteysbqKe,2868,212,2019-08-08,2021-01-06,2,8
GnwjrjojiZZwGdPFgN,3402,503,2018-02-19,2024-09-27,2,10
ViRaGuOSDOZZ,1861,316,2019-09-01,2022-02-21,2,8
sbAhfkMMhajvWgWicShfU ml,3890,997,2018-05-10,2022-09-30,2,7
KVAymGQBaEjkJNtrtrIS,2395,351,2019-08-09,2022-02-04,2,8
QJoNLtHZtBpBVNpRAGuZQ,3762,847,2018-06-01,2024-12-18,2,7
sFhygRiZKKFvXLveKFaZ,3011,707,2019-08-21,2022-01-26,2,9
JigNRLQMqLlEFLhhxDmWA UY,3609,570,2019-05-16,2023-01-06,2,9
nfZNHd PZpxHFKSbJtv f,1200,230,2019-01-08,2023-02-14,2,8
"qIecPqFOHk ",3375,972,2018-03-30,2024-09-30,2,10
TACYpikrRqMQ,538,616,2018-07-22,2022-05-26,2,6
ZJTzHzI Rjc,1888,786,2018-02-20,2021-06-05,2,8
LabHsRXjhwXsCHAtkFTfb,184,538,2018-10-24,2022-02-13,2,7
uhJOxJxgBVMtLlB,3414,117,2018-02-10,2023-05-24,2,8
nlWsfJBHDKwbflBTJOBh,4199,344,2018-07-07,2021-12-08,2,8
xONdoVYWG dqZ,2313,824,2019-11-28,2024-06-16,2,9
DQYNVEBwyKSGFEnY,133,299,2018-03-28,2024-11-24,2,6
oQlpiAknGUARHwugJ XneL,1781,771,2018-11-07,2020-02-27,2,10
" zFwJjrXgCAhjdD",805,562,2018-06-16,2023-02-07,2,7
KLnISVghQsvvixOLGo,2736,897,2019-01-11,2023-05-10,2,7
nKZVofZfz vBL,937,144,2018-01-07,2021-03-21,2,8
LfRZoKDWjl,2340,193,2018-02-28,2022-12-29,2,7
KHWKxPpOeJrB,1940,88,2018-06-03,2020-08-23,2,9
Vxcp KSLGFQ,452,170,2019-08-14,2022-12-04,2,10
BYCspRnFYaLGIZbYYJBJKsp,3919,534,2018-11-12,2022-03-26,2,10
" oDTzd vsA",3346,825,2018-07-18,2024-12-05,2,9
roVyPGEKBkceOe mEvIq,2544,676,2018-07-07,2021-10-08,2,8
"zCkcaqXFRnoYdJMKZbuh ",1204,533,2019-04-06,2021-11-06,2,8
rBCSiQyNtYLcVATNQPkZdyto,4874,749,2019-10-06,2022-05-31,2,8
EwbvNVInzbYhmz,1996,25,2019-07-01,2020-05-16,2,9
" wEarseoOWV Kxj",1264,412,2019-02-21,2021-04-27,2,10
AlGJThYLRfYXFfwj,3459,157,2019-03-05,2022-03-04,2,10
tgoLVJUawvFARfWrthxR,2919,38,2019-07-23,2022-10-17,2,6
KqsBrXYCzMDOhhSNwVgIv,475,459,2018-07-14,2021-12-01,2,6
FxDkMqXGwziHGW,4538,56,2018-05-25,2024-11-07,2,9
CqjkjvjeYGyTVy,3621,641,2018-06-28,2022-09-08,2,10
fyRDrnphqpYRjsDfF,2190,210,2018-01-14,2020-02-05,2,10
HJQcCXEyPjsuQv XJUxdvxsW,932,890,2018-03-23,2021-12-31,2,7
dnwBawlioQUUFeAH,1811,358,2019-07-24,2022-09-08,2,7
gauDsbTBjdllLGycmwC,2366,91,2018-11-17,2023-05-19,2,8
uScWOTgyHJoHmjxCsDtP,2532,327,2018-10-09,2024-06-14,2,6
FntqiRtWDlni,2668,551,2018-12-24,2023-08-05,2,9
hZLI uAeoNkDAGGQy,565,99,2019-10-29,2020-08-19,2,8
MDIwNyAp pSSJ AGbyKrwx,2315,984,2019-07-30,2020-08-27,2,9
QmznNLQHEijkZvvxyQ,78,565,2018-02-19,2021-03-22,2,8
hsanTZGpRZRJdkRtSe,167,163,2018-12-13,2023-07-15,2,10
HtVJLwKoQ BPSuD,4702,610,2019-05-14,2021-05-12,2,10
ybdHvBnORESNZfd,1045,192,2019-10-12,2022-06-17,2,7
LgBUDBwpRLvkTWNbKXELnl,2977,944,2019-05-16,2020-07-28,2,6
"nlXifnedPopMU ",2738,697,2018-08-22,2020-02-22,2,6
" uKqMSIwDNhXFAjIxFGlU",3310,539,2018-02-19,2024-02-13,2,9
XaRIyXqzeOFISfL,3518,97,2019-07-26,2022-09-18,2,7
htoemUubDC,1356,803,2018-12-05,2022-02-24,2,9
krILaOcfWLmrsAMKgZqSC,3039,711,2018-02-22,2021-12-11,2,8
DcymqouRumgfeOPPOSl,2294,272,2018-03-25,2024-04-14,2,10
HEXVcLohzhVuegMJaA,1413,605,2018-04-19,2020-07-27,2,6
TLOWCGRbnWpkXYPaqPoVkhC,4081,329,2018-09-06,2022-11-04,2,6
MxeGoelNBZSbxiDRD,740,890,2019-11-29,2024-05-12,2,7
XntzjkHqUgTGGivsF,1604,665,2018-01-25,2021-03-30,2,10
tJLVwFQFgfaSWa,2071,166,2018-02-05,2021-02-26,2,9
DoCEGycsRlnHvoDxrvKKeQd,2462,222,2018-01-11,2022-05-19,2,10
rWqCphoCif EsSgkXjxI,3546,855,2018-09-18,2020-08-14,2,6
" OaeMlSdkVXErT",2679,831,2018-02-05,2022-09-09,2,9
QuGhRtrLNHA,3300,150,2018-11-28,2023-05-26,2,6
piSMtSoCspQiHZsqOMw,1618,940,2018-05-11,2023-11-30,2,9
hJajBZtgiSQv,2485,723,2019-05-01,2024-10-24,2,8
sgUBBtxqqeoFNnpYjqV,726,846,2019-11-11,2021-04-27,2,7
kdlyOhDuHimBFfTbzaV,962,227,2019-05-13,2023-08-02,2,6
JoTVBJiWyeKFSBMJHDCOecVez,1470,309,2019-11-07,2024-10-13,2,7
hFRJHgKkOQ,729,709,2019-02-01,2024-10-22,2,6
kNKbPiueywhQteK,4520,27,2018-11-10,2023-12-26,2,7
yPpkHpEecAEhxxLklDuO,1972,990,2018-11-03,2024-12-02,2,9
wHFMLkyg gvpSzLELQpX,1059,226,2019-08-20,2021-02-04,2,8
mlHUOnXmFWHWViZz,3833,802,2019-03-16,2020-07-07,2,8
XP WrMzKZBFYVtzei,1487,279,2018-07-15,2023-01-09,2,8
NBejMgKAFBTqqZCJFvbhjiNQu,4003,199,2018-02-18,2023-07-28,2,10
DmNZoYnmsqifWNINWWCjdcTi,3816,123,2018-12-11,2022-04-15,2,9
WwBiTMfGmmJzknwjK,918,852,2018-05-29,2023-04-03,2,8
ofzWVJNnmbIXmoGhd,565,877,2019-10-26,2024-02-05,2,8
ztYOuqnynk,1193,369,2019-11-27,2024-02-15,2,8
mACsznthxUKQeYiiI,2343,612,2019-05-07,2020-06-02,2,9
bijraHmBcbpCg ljYVfMz,909,871,2019-03-31,2022-01-26,2,8
HwXpjsEVYGXisJcGnBpL l,4945,985,2019-12-01,2022-09-04,2,8
uuImAMxpdeaMncz cgDUHt,2583,892,2018-02-22,2023-05-19,2,7
vVJNdXtFzOF dQA,4876,905,2019-08-14,2024-11-13,2,7
IplZCVSryq,2850,359,2018-12-31,2021-02-03,2,9
hSppzbBXqLTWhD,313,500,2019-01-17,2023-08-27,2,8
" hvVSXQEmYzXWlBdIuVa",4689,113,2019-06-09,2024-09-20,2,7
UqBMTtGwilMziIIlWQSqOnxfU,590,820,2018-03-14,2024-01-16,2,7
FsvuKkdiFKsGtbbMAKifUt,1863,113,2019-02-13,2022-02-25,2,8
jV oRxjtUBKYjQDrBRrC,1026,835,2019-09-28,2020-04-12,2,9
aYFLIsDdNkqfs,1897,467,2019-08-29,2023-11-13,2,10
YloezZvykAbcNPPC,2506,332,2019-06-20,2022-08-13,2,7
fyUylbbhfLXgFYhymtaWKn,4643,258,2019-04-23,2024-01-29,2,7
apxCgYYoBnErWJD,1932,182,2018-12-12,2021-12-04,2,8
LWmLJTrmclJI,2840,151,2019-08-21,2022-10-09,2,8
GOGvYWEMqq  sWggTwp,305,681,2019-08-16,2020-06-23,2,9
aYHZUgGAHEpNbndqrtTwrzDJO,2089,411,2018-07-27,2022-06-09,2,8
hpaZjNTKHnR,1186,682,2018-05-03,2021-10-28,2,7
YxEkHCxVowVSBoYnQUYg,2445,385,2018-08-31,2022-06-18,2,10
yMYfCfhcyGuytGEWhBd,276,476,2018-10-19,2023-08-28,2,6
mxSQgVFyKjlQxqSY,192,841,2019-11-16,2023-03-20,2,10
KSTVbKusDGGKjAkIsCwZOU,2506,91,2018-08-10,2020-11-04,2,9
vRVqPMXXVpuVdV,267,8,2018-04-12,2021-08-17,2,7
"GTsORRuVhDZh ",3454,385,2018-07-08,2023-07-30,2,9
vvJOUPwzgJCRMYmef,1920,804,2018-09-15,2021-08-07,2,9
"hWnJeYHbqSJv ",1659,305,2019-07-22,2024-05-10,2,6
AwqTdUC xLEMfUvE,1842,850,2019-04-01,2023-05-28,2,9
efsLKyvjOMUEGEksxAtl,779,601,2019-09-16,2022-07-09,2,8
XJNUmFwhbrzLg,3886,273,2019-05-05,2024-02-24,2,8
VMPQRzDLSahZIZiHQZe,1524,344,2018-05-23,2020-11-06,2,6
"blHuZNEbLP ",1775,156,2018-04-29,2020-09-30,2,10
HPdldmVSBXnVLEK qsTsTPMZ,3756,651,2019-02-19,2024-01-30,2,7
WErTraUueCqcHK zdBeyUO,3520,599,2018-12-21,2021-09-29,2,10
soeSSvXxLSZD jvIURvSjxH,556,96,2018-03-01,2024-08-28,2,8
ghNSuKfa Oj,2210,706,2018-04-18,2020-05-19,2,7
GHVpMsogzpqPPU  aSfilZiR,236,51,2018-03-15,2024-07-08,2,7
QCyhgxCN VfcamfrM,3467,707,2019-10-28,2020-08-10,2,8
kTmgYn G KPZXWjQh,4920,236,2018-12-13,2024-07-15,2,9
oDeRIupbtxGCIIpjkatBjcH,21,970,2019-01-12,2022-08-31,2,7
sfbQHnlaxMatZi,769,515,2018-07-28,2023-03-18,2,8
BTOpzktWLvS,1319,558,2018-12-07,2021-05-28,2,8
RUTRrQsruTmXsZLF wZHT,4938,124,2018-08-30,2020-11-29,2,7
NxmMuEPhyCvKhg,1888,637,2018-04-15,2024-12-13,2,7
QgZUBsTMCx,212,471,2019-07-14,2024-07-03,2,10
klDOZZ mObbjgxNez,273,179,2019-11-23,2020-09-18,2,10
ttfTEVoOThxscMAguyIJtlH,4550,418,2018-01-20,2024-08-27,2,6
kVKGmYBRmblAVXFRk,4408,741,2018-08-08,2022-02-07,2,6
EJzzyXQlc VNMOSWWAM,2019,88,2018-11-26,2024-12-15,2,8
VBMhPiIBpHT,775,238,2019-07-13,2023-11-04,2,7
KMLWKrJgSWhVvadtPKtvrFmua,651,805,2018-06-05,2023-01-24,2,9
efjjZykHiwRf,4333,37,2019-05-15,2020-02-04,2,8
DlsQmYhNsw,2993,913,2018-04-05,2020-02-03,2,8
tOfF  mGID,378,849,2019-06-20,2023-05-28,2,7
svigfPP GBzPIZtl pIoyW,3258,983,2019-04-15,2024-03-10,2,9
kgziPsUiQSdmiDObSU,1194,463,2019-11-26,2021-04-26,2,10
jGripeXJhYNrCPIVoJpuCk,3515,440,2018-01-05,2023-01-09,2,9
lSAJjyjwEiuEmnYKvruKZi,264,451,2018-09-29,2023-09-30,2,7
YGAC CaNcXJJQGcVPoUe,2886,817,2018-02-05,2022-03-19,2,6
kBnAgTcWmouoLMLvuT,295,617,2019-10-02,2022-04-19,2,6
hWMorKfQKZZGh,3750,735,2019-03-26,2022-03-31,2,6
bNKRxPYSRvWtmlkyWJoIaTUE,4638,373,2018-03-09,2020-11-25,2,10
bUYkgbGUCb,3873,157,2018-10-24,2024-03-21,2,9
zHFkrFQTuhhrrNyffUbIaZdT,1738,862,2018-07-08,2022-10-23,2,9
LlXGRiouAmrO,267,811,2018-11-05,2024-10-16,2,8
rMKBfprXCoGVxuCBkNRc,2396,492,2018-06-16,2023-08-14,2,8
gTFAwKifwqis,2345,651,2019-08-27,2024-06-18,2,10
tRRToEjaxezDmOLyvHOHQmOzH,1774,523,2019-11-27,2022-10-12,2,7
tatQuUcwyaFC,2150,121,2018-09-10,2024-09-23,2,7
tCLpdQVUQwc,3596,25,2018-02-08,2022-06-17,2,9
ymvS jAmxlnZeFWzXKUASLaO,691,375,2019-10-19,2022-04-26,2,10
HtxOynoXSbPcpoAcRxsW,1287,973,2019-06-02,2022-09-24,2,6
jjOKCBTNddHnjf pai,2222,943,2019-06-08,2023-09-12,2,7
ZsGGBflNlXrfCkJKLprn,2789,853,2018-06-10,2022-02-17,2,7
UDQtyHAUfttFGpmD,1065,635,2019-04-17,2021-07-11,2,8
ECtqzGsoffeNhNXYPPjFz,333,395,2019-12-17,2021-03-23,2,6
lSoWZUZotNhDoEKsUuRaEhR,2416,107,2019-04-22,2023-07-29,2,6
swdkiebMZwpxYImdIQokfKq,3704,993,2018-08-17,2020-09-28,2,7
lscXpSgXImDKZyutbWHthCu,2420,138,2019-02-24,2024-07-30,2,10
JMUnlawCeaEiJOoUoamVl,3791,182,2018-12-23,2021-03-21,2,10
csSojwTpHqdEeGMfFEj,530,320,2018-03-29,2022-12-12,2,8
fTurnkZdJFxNlnmQqB,4691,918,2019-09-25,2022-04-03,2,8
rHAHHuTNQQsRhVkIV,4061,190,2018-09-19,2020-07-27,2,7
WMjaYhiWwaiTTNmY,771,617,2019-04-16,2024-01-16,2,9
KxkflFoxPDpLlPn,4528,332,2018-11-03,2022-05-20,2,8
GIuuoAnCCxtrsJhzX,4330,504,2018-04-02,2023-03-31,2,9
zoSaXkCQhiwScMdOVymh,3200,596,2019-05-31,2024-06-29,2,7
HMYHypBXTl,3886,655,2018-09-05,2022-04-09,2,6
jRczNzyctfzzITmSOt,3423,540,2018-02-15,2023-05-18,2,9
tnLHoETyzxzc,4118,93,2018-01-24,2020-12-28,2,10
elYPmlFnAlQHI,2627,64,2019-09-19,2021-01-12,2,9
PndmVm zYL,1814,175,2018-08-13,2022-05-18,2,7
kVlbjEXrDVFTUFMkDWgchW,1596,720,2018-10-07,2024-07-02,2,6
MdWiINBbFJawbDtWooBWOM,1106,865,2018-09-06,2023-04-22,2,6
AOupZKgIKjI,1284,809,2019-09-01,2021-12-08,2,8
mjOHqaEvxcMfeJ,912,424,2018-03-02,2023-09-02,2,9
gMzHqgAgeZbKbo,1940,207,2019-11-01,2022-06-30,2,9
OZlqgOAXKSi,783,375,2019-09-19,2022-02-14,2,7
kfYCqRZMofASgutyDvuowEk,3947,314,2018-03-26,2023-05-11,2,7
"eiKIhMqUcFVmYnhejdcoBlhw ",2915,746,2019-03-23,2022-07-12,2,6
IAtcDMDRWB WKCFfv,4997,771,2019-06-15,2021-04-09,2,9
lt LUrOLze,2408,650,2019-06-05,2023-05-07,2,8
IHF YQDPKKHfKXE,2509,600,2018-11-20,2021-10-10,2,10
UzNVufnHMoGUujyh,2473,996,2019-03-28,2022-06-29,2,6
LV OqzVMNqQ detBZLaEvybNG,3481,445,2019-06-04,2023-07-25,2,8
LXiSaXqIZhUQj,1906,114,2019-06-19,2024-12-03,2,8
XCpCQinvPyevZoNDEYgLFBNN,4358,73,2019-10-12,2021-12-21,2,8
jCbxKYcwDhJvbCW,3428,775,2018-03-21,2024-02-11,2,6
